"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
STR_RPL_AppleStack_D,"An ordinary stack of apples. Full stack of apples can be preserved in a can.","An ordinary stack of apples. Full stack of apples can be preserved in a can.","Obyčejná hromada jablek. Plná hromada může být třeba uchována v plechovce, aby se nezkazila.","An ordinary stack of apples. Full stack of apples can be preserved in a can.","An ordinary stack of apples. Full stack of apples can be preserved in a can.","An ordinary stack of apples. Full stack of apples can be preserved in a can.","An ordinary stack of apples. Full stack of apples can be preserved in a can.","An ordinary stack of apples. Full stack of apples can be preserved in a can.","An ordinary stack of apples. Full stack of apples can be preserved in a can.","An ordinary stack of apples. Full stack of apples can be preserved in a can.","An ordinary stack of apples. Full stack of apples can be preserved in a can.","An ordinary stack of apples. Full stack of apples can be preserved in a can.","An ordinary stack of apples. Full stack of apples can be preserved in a can.","An ordinary stack of apples. Full stack of apples can be preserved in a can.","An ordinary stack of apples. Full stack of apples can be preserved in a can.",
STR_RPL_PearStack,"Stack of Pears","Stack of Pears","Hromada hrušek","Stack of Pears","Stack of Pears","Stack of Pears","Stack of Pears","Stack of Pears","Stack of Pears","Stack of Pears","Stack of Pears","Stack of Pears","Stack of Pears","Stack of Pears","Stack of Pears",
STR_RPL_PearStack_D,"An ordinary stack of pears. Full stack of pears can be preserved in a can.","An ordinary stack of pears. Full stack of pears can be preserved in a can.","Obyčejná hromada hrušek. Plná hromada může být třeba uchována v plechovce, aby se nezkazila.","An ordinary stack of pears. Full stack of pears can be preserved in a can.","An ordinary stack of pears. Full stack of pears can be preserved in a can.","An ordinary stack of pears. Full stack of pears can be preserved in a can.","An ordinary stack of pears. Full stack of pears can be preserved in a can.","An ordinary stack of pears. Full stack of pears can be preserved in a can.","An ordinary stack of pears. Full stack of pears can be preserved in a can.","An ordinary stack of pears. Full stack of pears can be preserved in a can.","An ordinary stack of pears. Full stack of pears can be preserved in a can.","An ordinary stack of pears. Full stack of pears can be preserved in a can.","An ordinary stack of pears. Full stack of pears can be preserved in a can.","An ordinary stack of pears. Full stack of pears can be preserved in a can.","An ordinary stack of pears. Full stack of pears can be preserved in a can.",
STR_RPL_PlumStack,"Stack of Plums","Stack of Plums","Hromada švestek","Stack of Plums","Stack of Plums","Stack of Plums","Stack of Plums","Stack of Plums","Stack of Plums","Stack of Plums","Stack of Plums","Stack of Plums","Stack of Plums","Stack of Plums","Stack of Plums",
STR_RPL_PlumStack_D,"An ordinary stack of plums. Full stack of plums can be preserved in a can.","An ordinary stack of plums. Full stack of plums can be preserved in a can.","Obyčejná hromada švestek. Plná hromada může být třeba uchována v plechovce, aby se nezkazila.","An ordinary stack of plums. Full stack of plums can be preserved in a can.","An ordinary stack of plums. Full stack of plums can be preserved in a can.","An ordinary stack of plums. Full stack of plums can be preserved in a can.","An ordinary stack of plums. Full stack of plums can be preserved in a can.","An ordinary stack of plums. Full stack of plums can be preserved in a can.","An ordinary stack of plums. Full stack of plums can be preserved in a can.","An ordinary stack of plums. Full stack of plums can be preserved in a can.","An ordinary stack of plums. Full stack of plums can be preserved in a can.","An ordinary stack of plums. Full stack of plums can be preserved in a can.","An ordinary stack of plums. Full stack of plums can be preserved in a can.","An ordinary stack of plums. Full stack of plums can be preserved in a can.","An ordinary stack of plums. Full stack of plums can be preserved in a can.",
STR_RPL_ZucchiniStack,"Stack of Zucchinis","Stack of Zucchinis","Hromada cuket","Stack of Zucchinis","Stack of Zucchinis","Stack of Zucchinis","Stack of Zucchinis","Stack of Zucchinis","Stack of Zucchinis","Stack of Zucchinis","Stack of Zucchinis","Stack of Zucchinis","Stack of Zucchinis","Stack of Zucchinis","Stack of Zucchinis",
STR_RPL_ZucchiniStack_D,"An ordinary stack of zucchinis. Full stack of zucchinis can be preserved in a can.","An ordinary stack of zucchinis. Full stack of zucchinis can be preserved in a can.","Obyčejná hromada cuket. Plná hromada může být třeba uchována v plechovce, aby se nezkazila.","An ordinary stack of zucchinis. Full stack of zucchinis can be preserved in a can.","An ordinary stack of zucchinis. Full stack of zucchinis can be preserved in a can.","An ordinary stack of zucchinis. Full stack of zucchinis can be preserved in a can.","An ordinary stack of zucchinis. Full stack of zucchinis can be preserved in a can.","An ordinary stack of zucchinis. Full stack of zucchinis can be preserved in a can.","An ordinary stack of zucchinis. Full stack of zucchinis can be preserved in a can.","An ordinary stack of zucchinis. Full stack of zucchinis can be preserved in a can.","An ordinary stack of zucchinis. Full stack of zucchinis can be preserved in a can.","An ordinary stack of zucchinis. Full stack of zucchinis can be preserved in a can.","An ordinary stack of zucchinis. Full stack of zucchinis can be preserved in a can.","An ordinary stack of zucchinis. Full stack of zucchinis can be preserved in a can.","An ordinary stack of zucchinis. Full stack of zucchinis can be preserved in a can.",
STR_RPL_TomatoStack,"Stack of Tomatoes","Stack of Tomatoes","Hromada rajčat","Stack of Tomatoes","Stack of Tomatoes","Stack of Tomatoes","Stack of Tomatoes","Stack of Tomatoes","Stack of Tomatoes","Stack of Tomatoes","Stack of Tomatoes","Stack of Tomatoes","Stack of Tomatoes","Stack of Tomatoes","Stack of Tomatoes",
STR_RPL_TomatoStack_D,"An ordinary stack of tomatoes. Full stack of tomatoes can be preserved in a can.","An ordinary stack of tomatoes. Full stack of tomatoes can be preserved in a can.","Obyčejná hromada rajčat. Plná hromada může být třeba uchována v plechovce, aby se nezkazila.","An ordinary stack of tomatoes. Full stack of tomatoes can be preserved in a can.","An ordinary stack of tomatoes. Full stack of tomatoes can be preserved in a can.","An ordinary stack of tomatoes. Full stack of tomatoes can be preserved in a can.","An ordinary stack of tomatoes. Full stack of tomatoes can be preserved in a can.","An ordinary stack of tomatoes. Full stack of tomatoes can be preserved in a can.","An ordinary stack of tomatoes. Full stack of tomatoes can be preserved in a can.","An ordinary stack of tomatoes. Full stack of tomatoes can be preserved in a can.","An ordinary stack of tomatoes. Full stack of tomatoes can be preserved in a can.","An ordinary stack of tomatoes. Full stack of tomatoes can be preserved in a can.","An ordinary stack of tomatoes. Full stack of tomatoes can be preserved in a can.","An ordinary stack of tomatoes. Full stack of tomatoes can be preserved in a can.","An ordinary stack of tomatoes. Full stack of tomatoes can be preserved in a can.",
STR_RPL_PotatoStack,"Stack of Potatoes","Stack of Potatoes","Hromada brambor","Stack of Potatoes","Stack of Potatoes","Stack of Potatoes","Stack of Potatoes","Stack of Potatoes","Stack of Potatoes","Stack of Potatoes","Stack of Potatoes","Stack of Potatoes","Stack of Potatoes","Stack of Potatoes","Stack of Potatoes",
STR_RPL_PotatoStack_D,"An ordinary stack of potatoes. Full stack of potatoes can be preserved in a can.","An ordinary stack of potatoes. Full stack of potatoes can be preserved in a can.","Obyčejná hromada brambor. Plná hromada může být třeba uchována v plechovce, aby se nezkazila.","An ordinary stack of potatoes. Full stack of potatoes can be preserved in a can.","An ordinary stack of potatoes. Full stack of potatoes can be preserved in a can.","An ordinary stack of potatoes. Full stack of potatoes can be preserved in a can.","An ordinary stack of potatoes. Full stack of potatoes can be preserved in a can.","An ordinary stack of potatoes. Full stack of potatoes can be preserved in a can.","An ordinary stack of potatoes. Full stack of potatoes can be preserved in a can.","An ordinary stack of potatoes. Full stack of potatoes can be preserved in a can.","An ordinary stack of potatoes. Full stack of potatoes can be preserved in a can.","An ordinary stack of potatoes. Full stack of potatoes can be preserved in a can.","An ordinary stack of potatoes. Full stack of potatoes can be preserved in a can.","An ordinary stack of potatoes. Full stack of potatoes can be preserved in a can.","An ordinary stack of potatoes. Full stack of potatoes can be preserved in a can.",
STR_RPL_PepperStack,"Stack of Peppers","Stack of Peppers","Hromada paprik","Stack of Peppers","Stack of Peppers","Stack of Peppers","Stack of Peppers","Stack of Peppers","Stack of Peppers","Stack of Peppers","Stack of Peppers","Stack of Peppers","Stack of Peppers","Stack of Peppers","Stack of Peppers",
STR_RPL_PepperStack_D,"An ordinary stack of peppers. Full stack of peppers can be preserved in a can.","An ordinary stack of peppers. Full stack of peppers can be preserved in a can.","Obyčejná hromada paprik. Plná hromada může být třeba uchována v plechovce, aby se nezkazila.","An ordinary stack of peppers. Full stack of peppers can be preserved in a can.","An ordinary stack of peppers. Full stack of peppers can be preserved in a can.","An ordinary stack of peppers. Full stack of peppers can be preserved in a can.","An ordinary stack of peppers. Full stack of peppers can be preserved in a can.","An ordinary stack of peppers. Full stack of peppers can be preserved in a can.","An ordinary stack of peppers. Full stack of peppers can be preserved in a can.","An ordinary stack of peppers. Full stack of peppers can be preserved in a can.","An ordinary stack of peppers. Full stack of peppers can be preserved in a can.","An ordinary stack of peppers. Full stack of peppers can be preserved in a can.","An ordinary stack of peppers. Full stack of peppers can be preserved in a can.","An ordinary stack of peppers. Full stack of peppers can be preserved in a can.","An ordinary stack of peppers. Full stack of peppers can be preserved in a can.",
STR_RPL_MeatStack,"Stack of Meat","Stack of Meat","Hromada masa","Stack of Meat","Stack of Meat","Stack of Meat","Stack of Meat","Stack of Meat","Stack of Meat","Stack of Meat","Stack of Meat","Stack of Meat","Stack of Meat","Stack of Meat","Stack of Meat",
STR_RPL_MeatStack_D,"An ordinary stack of meat. Full stack of meat can be preserved in a can.","An ordinary stack of meat. Full stack of meat can be preserved in a can.","Obyčejná hromada masa. Plná hromada může být třeba uchována v plechovce, aby se nezkazila.","An ordinary stack of meat. Full stack of meat can be preserved in a can.","An ordinary stack of meat. Full stack of meat can be preserved in a can.","An ordinary stack of meat. Full stack of meat can be preserved in a can.","An ordinary stack of meat. Full stack of meat can be preserved in a can.","An ordinary stack of meat. Full stack of meat can be preserved in a can.","An ordinary stack of meat. Full stack of meat can be preserved in a can.","An ordinary stack of meat. Full stack of meat can be preserved in a can.","An ordinary stack of meat. Full stack of meat can be preserved in a can.","An ordinary stack of meat. Full stack of meat can be preserved in a can.","An ordinary stack of meat. Full stack of meat can be preserved in a can.","An ordinary stack of meat. Full stack of meat can be preserved in a can.","An ordinary stack of meat. Full stack of meat can be preserved in a can.",
STR_RPL_MushroomStack,"Stack of Mushrooms","Stack of Mushrooms","Hromada hub","Stack of Mushrooms","Stack of Mushrooms","Stack of Mushrooms","Stack of Mushrooms","Stack of Mushrooms","Stack of Mushrooms","Stack of Mushrooms","Stack of Mushrooms","Stack of Mushrooms","Stack of Mushrooms","Stack of Mushrooms","Stack of Mushrooms",
STR_RPL_MushroomStack_D,"An ordinary stack of mushrooms. Full stack of mushrooms can be preserved in a can.","An ordinary stack of mushrooms. Full stack of mushrooms can be preserved in a can.","Obyčejná hromada hub. Plná hromada může být třeba uchována v plechovce, aby se nezkazila.","An ordinary stack of mushrooms. Full stack of mushrooms can be preserved in a can.","An ordinary stack of mushrooms. Full stack of mushrooms can be preserved in a can.","An ordinary stack of mushrooms. Full stack of mushrooms can be preserved in a can.","An ordinary stack of mushrooms. Full stack of mushrooms can be preserved in a can.","An ordinary stack of mushrooms. Full stack of mushrooms can be preserved in a can.","An ordinary stack of mushrooms. Full stack of mushrooms can be preserved in a can.","An ordinary stack of mushrooms. Full stack of mushrooms can be preserved in a can.","An ordinary stack of mushrooms. Full stack of mushrooms can be preserved in a can.","An ordinary stack of mushrooms. Full stack of mushrooms can be preserved in a can.","An ordinary stack of mushrooms. Full stack of mushrooms can be preserved in a can.","An ordinary stack of mushrooms. Full stack of mushrooms can be preserved in a can.","An ordinary stack of mushrooms. Full stack of mushrooms can be preserved in a can.",
STR_RPL_HumanMeatStack,"Stack of Human Meat","Stack of Human Meat","Hromada lidského masa","Stack of Human Meat","Stack of Human Meat","Stack of Human Meat","Stack of Human Meat","Stack of Human Meat","Stack of Human Meat","Stack of Human Meat","Stack of Human Meat","Stack of Human Meat","Stack of Human Meat","Stack of Human Meat","Stack of Human Meat",
STR_RPL_HumanMeatStack_D,"An ordinary stack of human meat. Full stack of human meat can be preserved in a can.","An ordinary stack of human meat. Full stack of human meat can be preserved in a can.","Obyčejná hromada lidského masa. Plná hromada může být třeba uchována v plechovce, aby se nezkazila.","An ordinary stack of human meat. Full stack of human meat can be preserved in a can.","An ordinary stack of human meat. Full stack of human meat can be preserved in a can.","An ordinary stack of human meat. Full stack of human meat can be preserved in a can.","An ordinary stack of human meat. Full stack of human meat can be preserved in a can.","An ordinary stack of human meat. Full stack of human meat can be preserved in a can.","An ordinary stack of human meat. Full stack of human meat can be preserved in a can.","An ordinary stack of human meat. Full stack of human meat can be preserved in a can.","An ordinary stack of human meat. Full stack of human meat can be preserved in a can.","An ordinary stack of human meat. Full stack of human meat can be preserved in a can.","An ordinary stack of human meat. Full stack of human meat can be preserved in a can.","An ordinary stack of human meat. Full stack of human meat can be preserved in a can.","An ordinary stack of human meat. Full stack of human meat can be preserved in a can.",
STR_RPL_CarpFilletStack,"Stack of Carp Fillets","Stack of Carp Fillets","Hromada kapřích filet","Stack of Carp Fillets","Stack of Carp Fillets","Stack of Carp Fillets","Stack of Carp Fillets","Stack of Carp Fillets","Stack of Carp Fillets","Stack of Carp Fillets","Stack of Carp Fillets","Stack of Carp Fillets","Stack of Carp Fillets","Stack of Carp Fillets","Stack of Carp Fillets",
STR_RPL_CarpFilletStack_D,"An ordinary stack of Carp Fillets. Full stack of Carp Fillets can be preserved in a can.","An ordinary stack of Carp Fillets. Full stack of Carp Fillets can be preserved in a can.","Obyčejná hromada čerstvých kapřích filet. Plná hromada lze uchovat v konzervě.","An ordinary stack of Carp Fillets. Full stack of Carp Fillets can be preserved in a can.","An ordinary stack of Carp Fillets. Full stack of Carp Fillets can be preserved in a can.","An ordinary stack of Carp Fillets. Full stack of Carp Fillets can be preserved in a can.","An ordinary stack of Carp Fillets. Full stack of Carp Fillets can be preserved in a can.","An ordinary stack of Carp Fillets. Full stack of Carp Fillets can be preserved in a can.","An ordinary stack of Carp Fillets. Full stack of Carp Fillets can be preserved in a can.","An ordinary stack of Carp Fillets. Full stack of Carp Fillets can be preserved in a can.","An ordinary stack of Carp Fillets. Full stack of Carp Fillets can be preserved in a can.","An ordinary stack of Carp Fillets. Full stack of Carp Fillets can be preserved in a can.","An ordinary stack of Carp Fillets. Full stack of Carp Fillets can be preserved in a can.","An ordinary stack of Carp Fillets. Full stack of Carp Fillets can be preserved in a can.",
STR_RPL_LardStack,"Stack of Lard","Stack of Lard","Hromada tuku","Stack of Lard","Stack of Lard","Stack of Lard","Stack of Lard","Stack of Lard","Stack of Lard","Stack of Lard","Stack of Lard","Stack of Lard","Stack of Lard","Stack of Lard","Stack of Lard",
STR_RPL_LardStack_D,"An ordinary stack of Animal Lard. Full stack of Lard can be preserved in a can.","An ordinary stack of Animal Lard. Full stack of Lard can be preserved in a can.","Obyčejná hromada živočišného tuku. Plná hromada může být třeba uchována v plechovce, aby se nezkazila.","An ordinary stack of Animal Lard. Full stack of Lard can be preserved in a can.","An ordinary stack of Animal Lard. Full stack of Lard can be preserved in a can.","An ordinary stack of Animal Lard. Full stack of Lard can be preserved in a can.","An ordinary stack of Animal Lard. Full stack of Lard can be preserved in a can.","An ordinary stack of Animal Lard. Full stack of Lard can be preserved in a can.","An ordinary stack of Animal Lard. Full stack of Lard can be preserved in a can.","An ordinary stack of Animal Lard. Full stack of Lard can be preserved in a can.","An ordinary stack of Animal Lard. Full stack of Lard can be preserved in a can.","An ordinary stack of Animal Lard. Full stack of Lard can be preserved in a can.","An ordinary stack of Animal Lard. Full stack of Lard can be preserved in a can.","An ordinary stack of Animal Lard. Full stack of Lard can be preserved in a can.",
STR_RPL_PumpkinStack,"Stack of Sliced Pumpkin","Stack of Sliced Pumpkin","Hromada kousků dýně","Stack of Sliced Pumpkin","Stack of Sliced Pumpkin","Stack of Sliced Pumpkin","Stack of Sliced Pumpkin","Stack of Sliced Pumpkin","Stack of Sliced Pumpkin","Stack of Sliced Pumpkin","Stack of Sliced Pumpkin","Stack of Sliced Pumpkin","Stack of Sliced Pumpkin","Stack of Sliced Pumpkin","Stack of Sliced Pumpkin",
STR_RPL_PumpkinStack_D,"An ordinary stack of Pumpkin Slices. Full stack of Pumpkin Slices can be preserved in a can.","An ordinary stack of Pumpkin Slices. Full stack of Pumpkin Slices can be preserved in a can.","Obyčejná hromada kousků dýně. Plná hromada může být třeba uchována v plechovce, aby se nezkazila.","An ordinary stack of Pumpkin Slices. Full stack of Pumpkin Slices can be preserved in a can.","An ordinary stack of Pumpkin Slices. Full stack of Pumpkin Slices can be preserved in a can.","An ordinary stack of Pumpkin Slices. Full stack of Pumpkin Slices can be preserved in a can.","An ordinary stack of Pumpkin Slices. Full stack of Pumpkin Slices can be preserved in a can.","An ordinary stack of Pumpkin Slices. Full stack of Pumpkin Slices can be preserved in a can.","An ordinary stack of Pumpkin Slices. Full stack of Pumpkin Slices can be preserved in a can.","An ordinary stack of Pumpkin Slices. Full stack of Pumpkin Slices can be preserved in a can.","An ordinary stack of Pumpkin Slices. Full stack of Pumpkin Slices can be preserved in a can.","An ordinary stack of Pumpkin Slices. Full stack of Pumpkin Slices can be preserved in a can.","An ordinary stack of Pumpkin Slices. Full stack of Pumpkin Slices can be preserved in a can.","An ordinary stack of Pumpkin Slices. Full stack of Pumpkin Slices can be preserved in a can.",
STR_RPL_SardineStack,"Stack of Sardines","Stack of Sardines","Hromada sardinek","Stack of Sardines","Stack of Sardines","Stack of Sardines","Stack of Sardines","Stack of Sardines","Stack of Sardines","Stack of Sardines","Stack of Sardines","Stack of Sardines","Stack of Sardines","Stack of Sardines","Stack of Sardines",
STR_RPL_SardineStack_D,"An ordinary stack of Sardines. Full stack of Sardines can be preserved in a can.","An ordinary stack of Sardines. Full stack of Sardines can be preserved in a can.","Obyčejná hromada sardinek. Plná hromada může být třeba uchována v plechovce, aby se nezkazila.","An ordinary stack of Sardines. Full stack of Sardines can be preserved in a can.","An ordinary stack of Sardines. Full stack of Sardines can be preserved in a can.","An ordinary stack of Sardines. Full stack of Sardines can be preserved in a can.","An ordinary stack of Sardines. Full stack of Sardines can be preserved in a can.","An ordinary stack of Sardines. Full stack of Sardines can be preserved in a can.","An ordinary stack of Sardines. Full stack of Sardines can be preserved in a can.","An ordinary stack of Sardines. Full stack of Sardines can be preserved in a can.","An ordinary stack of Sardines. Full stack of Sardines can be preserved in a can.","An ordinary stack of Sardines. Full stack of Sardines can be preserved in a can.","An ordinary stack of Sardines. Full stack of Sardines can be preserved in a can.","An ordinary stack of Sardines. Full stack of Sardines can be preserved in a can.",
STR_RPL_ImprovisedCan_Lard,"Canned Lard","Canned Lard","Plechovka s živočišným tukem","Canned Lard","Canned Lard","Canned Lard","Canned Lard","Canned Lard","Canned Lard","Canned Lard","Canned Lard","Canned Lard","Canned Lard","Canned Lard",
STR_RPL_ImprovisedCan_Lard_D,"An ordinary can full of animal lard. The can will keep them delicious for a long period of time, unless its open.","An ordinary can full of animal lard. The can will keep them delicious for a long period of time, unless its open.","Improvizovaná plechovka s obsahem živočišného tuku. Plechovka tuk udrží dlouho čerstvý a zabrání jeho zkáze. Tuk lze použít jako velmi výživný zdroj kalorií anebo jako surovinu k výrobu různých mastí.","An ordinary can full of animal lard. The can will keep them delicious for a long period of time, unless its open.","An ordinary can full of animal lard. The can will keep them delicious for a long period of time, unless its open.","An ordinary can full of animal lard. The can will keep them delicious for a long period of time, unless its open.","An ordinary can full of animal lard. The can will keep them delicious for a long period of time, unless its open.","An ordinary can full of animal lard. The can will keep them delicious for a long period of time, unless its open.","An ordinary can full of animal lard. The can will keep them delicious for a long period of time, unless its open.","An ordinary can full of animal lard. The can will keep them delicious for a long period of time, unless its open.","An ordinary can full of animal lard. The can will keep them delicious for a long period of time, unless its open.","An ordinary can full of animal lard. The can will keep them delicious for a long period of time, unless its open.","An ordinary can full of animal lard. The can will keep them delicious for a long period of time, unless its open.","An ordinary can full of animal lard. The can will keep them delicious for a long period of time, unless its open.",
STR_RPL_ImprovisedCan_Pumpkin,"Canned Pumpkin","Canned Pumpkin","Plechovka s dýňovým pyré","Canned Pumpkin","Canned Pumpkin","Canned Pumpkin","Canned Pumpkin","Canned Pumpkin","Canned Pumpkin","Canned Pumpkin","Canned Pumpkin","Canned Pumpkin","Canned Pumpkin","Canned Pumpkin",
STR_RPL_ImprovisedCan_Pumpkin_D,"A can full of fresh pumpkin slices in sugary water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh pumpkin slices in sugary water. The can will keep them delicious for a long period of time, unless its open.","Plechovka s dýňovým pyré. Vydrží na dlouhé časy a sladkost obsahu této plechovky výrazně zlepší náladu, nebo morálku.","A can full of fresh pumpkin slices in sugary water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh pumpkin slices in sugary water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh pumpkin slices in sugary water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh pumpkin slices in sugary water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh pumpkin slices in sugary water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh pumpkin slices in sugary water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh pumpkin slices in sugary water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh pumpkin slices in sugary water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh pumpkin slices in sugary water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh pumpkin slices in sugary water. The can will keep them delicious for a long period of time, unless its open.","A can full of fresh pumpkin slices in sugary water. The can will keep them delicious for a long period of time, unless its open.",
STR_RPL_ImprovisedCan_Sardines,"Canned Sardines","Canned Sardines","Plechovka se sardinkami","Canned Sardines","Canned Sardines","Canned Sardines","Canned Sardines","Canned Sardines","Canned Sardines","Canned Sardines","Canned Sardines","Canned Sardines","Canned Sardines","Canned Sardines",
STR_RPL_ImprovisedCan_Sardines_D,"A can full of preserved sardines. The can will keep them delicious for a long period of time, unless its open.","A can full of preserved sardines. The can will keep them delicious for a long period of time, unless its open.","Obyčejná plechovka se sardinkami. Plechovka uchová sardinky uchová dlouho čerstvé a chutné.","A can full of preserved sardines. The can will keep them delicious for a long period of time, unless its open.","A can full of preserved sardines. The can will keep them delicious for a long period of time, unless its open.","A can full of preserved sardines. The can will keep them delicious for a long period of time, unless its open.","A can full of preserved sardines. The can will keep them delicious for a long period of time, unless its open.","A can full of preserved sardines. The can will keep them delicious for a long period of time, unless its open.","A can full of preserved sardines. The can will keep them delicious for a long period of time, unless its open.","A can full of preserved sardines. The can will keep them delicious for a long period of time, unless its open.","A can full of preserved sardines. The can will keep them delicious for a long period of time, unless its open.","A can full of preserved sardines. The can will keep them delicious for a long period of time, unless its open.","A can full of preserved sardines. The can will keep them delicious for a long period of time, unless its open.","A can full of preserved sardines. The can will keep them delicious for a long period of time, unless its open.",
STR_RPL_ImprovisedCan_Carp,"Canned Carp","Canned Carp","Plechovka s kapřími filetami","Canned Carp","Canned Carp","Canned Carp","Canned Carp","Canned Carp","Canned Carp","Canned Carp","Canned Carp","Canned Carp","Canned Carp","Canned Carp",
STR_RPL_ImprovisedCan_Carp_D,"A can full of mashed carp fillets. The can will keep them delicious for a long period of time, unless its open.","A can full of mashed carp fillets. The can will keep them delicious for a long period of time, unless its open.","Plechovka s rozmačkanými kapřími filetami. Vydrží chutné a čerstvé na dlouhé časy, dokud je neotevřeš.","A can full of mashed carp fillets. The can will keep them delicious for a long period of time, unless its open.","A can full of mashed carp fillets. The can will keep them delicious for a long period of time, unless its open.","A can full of mashed carp fillets. The can will keep them delicious for a long period of time, unless its open.","A can full of mashed carp fillets. The can will keep them delicious for a long period of time, unless its open.","A can full of mashed carp fillets. The can will keep them delicious for a long period of time, unless its open.","A can full of mashed carp fillets. The can will keep them delicious for a long period of time, unless its open.","A can full of mashed carp fillets. The can will keep them delicious for a long period of time, unless its open.","A can full of mashed carp fillets. The can will keep them delicious for a long period of time, unless its open.","A can full of mashed carp fillets. The can will keep them delicious for a long period of time, unless its open.","A can full of mashed carp fillets. The can will keep them delicious for a long period of time, unless its open.","A can full of mashed carp fillets. The can will keep them delicious for a long period of time, unless its open.",
